"sheet","brand","excel_name","target_sql_name","status"
"Бронепленка","LLumar","❌Хард Глосс","Хард Глосс (hard gloss)","matched"
"Архитектурные","LLumar","4mil Silver 20 (1,83)","ASWF 4mil Silver 20 (1,83)","matched"
"Архитектурные","LLumar","8mil Silver 20 (1,83)","ASWF 8mil Silver 20 (1,83)","matched"
"Тонировка","LLumar","AIR 75 IR SR HPR    0,9 х 30 м","AIR 75 IR SR HPR    0,9 х 30 м","matched"
"Тонировка","LLumar","AIR 75 IR SR HPR - 1,52 х 30 м","AIR 75 IR SR HPR - 1,52 х 30 м","matched"
"Тонировка","LLumar","AIR 80 BLSRHPR  0,90 х 30 м","AIR 80 BLSRHPR  0,90 х 30 м","matched"
"Тонировка","LLumar","AIR 80 BLSRHPR - 1,52 х 30 м","AIR 80 BLSRHPR - 1,52 х 30 м","matched"
"Тонировка","LLumar","AIR 90 СLSRHPR  1,52Х 30 м","AIR 90 СLSRHPR  1,52Х 30 м","matched"
"Тонировка","LLumar","AIR 90 СLSRHPR  1,83Х 30 м","AIR 90 СLSRHPR  1,83Х 30 м","matched"
"Архитектурные","LLumar","ASWF Bronze Matte","ASWF Bronze Matte","matched"
"Архитектурные","LLumar","ASWF Grey Matte","ASWF Grey Matte","matched"
"Архитектурные","LLumar","ASWF Silver Matte","ASWF Silver Matte","matched"
"Тонировка","LLumar","ATR 05 CH SR HPR","ATR 05 CH SR HPR","matched"
"Тонировка","LLumar","ATR 15 CH SR HPR","ATR 15 CH SR HPR","matched"
"Тонировка","LLumar","ATR 20 CH SR HPR","ATR 20 CH SR HPR","matched"
"Тонировка","LLumar","ATR 35 CH SR HPR","ATR 35 CH SR HPR","matched"
"Тонировка","LLumar","ATR 50 CH SR HPR","ATR 50 CH SR HPR","matched"
"Тонировка распродажа","LLumar","ATT 05 S SR HPR 2","LLumar ATT 05 S SR HPR 2","matched"
"Тонировка","LLumar","ATС 05 CH SR HPR","ATС 05 CH SR HPR","matched"
"Тонировка","LLumar","ATС 15 CH SR HPR","ATС 15 CH SR HPR","matched"
"Тонировка","LLumar","ATС 20 CH SR HPR","ATС 20 CH SR HPR","matched"
"Тонировка","LLumar","ATС 35 CH SR HPR","ATС 35 CH SR HPR","matched"
"Тонировка","LLumar","ATС 50 CH SR HPR","ATС 50 CH SR HPR","matched"
"Тонировка","LLumar","ATС 70 CH SR HPR","ATС 70 CH SR HPR","matched"
"Архитектурные","LLumar","AU 85 UV SR HPR","LLumar AU 85 UV SR HPR","matched"
"Архитектурные","LLumar","Black Out(1,524  х30м)","Luxfil Black Out(1,524  х30м)","matched"
"Архитектурные","LLumar","Blue matte(1,524х30м п)","Luxfil Blue matte(1,524х30м п)","matched"
"Архитектурные","LLumar","Blue matte(1,524х60м п)","Luxfil Blue matte(1,524х60м п)","matched"
"Бронепленка","LLumar","BodyFence Black 1,52","Hexis BodyFence Black 1,52","matched"
"Бронепленка","LLumar","BodyFence M, X Matt, X Satin","Hexis BodyFence M, X Matt, X Satin","matched"
"Бронепленка","LLumar","BodyFence Wide 1,83","Hexis BodyFence Wide 1,83","matched"
"Бронепленка","LLumar","BodyFence Х 1,52","Hexis BodyFence Х 1,52","matched"
"Бронепленка","LLumar","BodyFence Х Fast 1,52","Hexis BodyFence Х Fast 1,52","matched"
"Архитектурные","LLumar","Bronze Matte(1,524х30м п)","Luxfil Bronze Matte(1,524х30м п)","matched"
"Тонировка","LLumar","Carbon CBS ST BK 0330","Carbon CBS ST BK 0330","matched"
"Тонировка","LLumar","Carbon CBS ST BK 0530","Carbon CBS ST BK 0530","matched"
"Тонировка","LLumar","Carbon CBS ST BK 1530","Carbon CBS ST BK 1530","matched"
"Тонировка","LLumar","Carbon CBS ST BK 2030","Carbon CBS ST BK 2030","matched"
"Тонировка","LLumar","Carbon CBS ST BK 3530","Carbon CBS ST BK 3530","matched"
"Тонировка","LLumar","Carbon CBS ST BK 5030","Carbon CBS ST BK 5030","matched"
"Тонировка","LLumar","Carbon CBS ST BK 7030","Carbon CBS ST BK 7030","matched"
"Архитектурные","LLumar","Ceramic 90","Luxfil Ceramic 90","matched"
"Тонировка","LLumar","Ceramic PIR8070","Ceramic PIR8070","matched"
"Архитектурные","LLumar","Deco 1 (1,524  х60м)","Luxfil Deco 1 (1,524  х60м)","matched"
"Архитектурные","LLumar","Deco 17 (1,524  х60м)","Luxfil Deco 17 (1,524  х60м)","matched"
"Архитектурные","LLumar","Deco 18 (горош)","Luxfil Deco 18 (горош)","matched"
"Архитектурные","LLumar","Deco 22(1,524  х30м)","Luxfil Deco 22(1,524  х30м)","matched"
"Архитектурные","LLumar","Deco INT UV 003(1,525 х60м)","Luxfil Deco INT UV 003(1,525 х60м)","matched"
"Архитектурные","LLumar","DLR 45","ASWF DLR 45","matched"
"Архитектурные","LLumar","DLR 75","ASWF DLR 75","matched"
"Архитектурные","LLumar","FROSTED SPARKLE","LLumar FROSTED SPARKLE","matched"
"Архитектурные","LLumar","Green matte(1,524х30м п)","Luxfil Green matte(1,524х30м п)","matched"
"Архитектурные","LLumar","Green matte(1,524х60м п)","Luxfil Green matte(1,524х60м п)","matched"
"Архитектурные","LLumar","GREY MATTE(1,524х30 м п)","Luxfil GREY MATTE(1,524х30 м п)","matched"
"Архитектурные","LLumar","GREY MATTE(1,524х60 м п)","Luxfil GREY MATTE(1,524х60 м п)","matched"
"Бронепленка","LLumar","G-Suit","G-Suit","matched"
"Тонировка","LLumar","HP 03 Black SR PS","HP 03 Black SR PS","matched"
"Тонировка","LLumar","HP 05 Black SR PS","HP 05 Black SR PS","matched"
"Тонировка","LLumar","HP 15 Black SR PS","HP 15 Black SR PS","matched"
"Тонировка","LLumar","HP 20 Black SR PS","HP 20 Black SR PS","matched"
"Тонировка","LLumar","HP 35 Black SR PS","HP 35 Black SR PS","matched"
"Тонировка","LLumar","HP 50 Black SR PS","HP 50 Black SR PS","matched"
"Тонировка","LLumar","HP 70 Black SR PS","HP 70 Black SR PS","matched"
"Архитектурные","LLumar","HP BLUE 30","Luxfil HP BLUE 30","matched"
"Архитектурные","LLumar","HP BRONZE 30","Luxfil HP BRONZE 30","matched"
"Архитектурные","LLumar","HP GREEN 30","Luxfil HP GREEN 30","matched"
"Винил","Luxfil","HX 20000 (цветные глянец / мат / сатин)","Hexis HX 20000 (цветные глянец / мат / сатин)","matched"
"Винил","Luxfil","HX 30000 (карбоны, кожа, браш)","Hexis HX 30000 (карбоны, кожа, браш)","matched"
"Винил","Luxfil","HX 30000 (цветные глянец / мат / сатин)","Hexis HX 30000 (цветные глянец / мат / сатин)","matched"
"Винил","Luxfil","HX20890B (черный глянец)","Hexis HX 20890B (черный глянец)","matched"
"Винил","Luxfil","HX20890B (черный матт)","Hexis HX20890B (черный матт)","matched"
"Винил","Luxfil","HX20890B (черный сатин)","Hexis HX 20890B (черный сатин)","matched"
"Винил","Luxfil","HX30000 (хромы глянец / сатин)","Hexis HX 30000 (хромы глянец / сатин)","matched"
"Винил","Luxfil","HXR150BGR черная структурная","Hexis HXR150BGR черная структурная","matched"
"Бронепленка","LLumar","Hybrid Black","Hybrid Black","matched"
"Архитектурные","LLumar","Illision(1,524 х30м) ext наружная","Luxfil Illision(1,524 х30м) ext наружная","matched"
"Архитектурные","LLumar","Illision(1,524 х30м) int внутрен","Luxfil Illision(1,524 х30м) int внутрен","matched"
"Архитектурные","LLumar","Illision(1,83)","ASWF Illision(1,83)","matched"
"Тонировка","LLumar","IRXTM 05 CH SR HPR","IRXTM 05 CH SR HPR","matched"
"Тонировка","LLumar","IRXTM 15 CH SR HPR","IRXTM 15 CH SR HPR","matched"
"Тонировка","LLumar","IRXTM 35 CH SR HPR","IRXTM 35 CH SR HPR","matched"
"Тонировка распродажа","LLumar","LA 20 S SR HPR","LLumar LA 20 S SR HPR","matched"
"Архитектурные","LLumar","LE 35 SR CDF","LLumar LE 35 SR CDF","matched"
"Архитектурные","LLumar","LE 50","LLumar LE 50","matched"
"Бронепленка","LLumar","LUXFIL   TPU  C1","LUXFIL   TPU  C1","matched"
"Бронепленка","LLumar","LUXFIL  TPH  А10","LUXFIL  TPH  А10","matched"
"Тонировка","LLumar","LUXFIL AIR90   Blue","LUXFIL AIR90   Blue","matched"
"Тонировка распродажа","LLumar","LUXFIL BLACK 05","LUXFIL BLACK 05","matched"
"Тонировка распродажа","LLumar","LUXFIL BLACK 15","LUXFIL BLACK 15","matched"
"Тонировка распродажа","LLumar","LUXFIL BLACK 35","LUXFIL BLACK 35","matched"
"Тонировка распродажа","LLumar","LUXFIL BLACK 50","LUXFIL BLACK 50","matched"
"Тонировка распродажа","LLumar","LUXFIL BLACK 70","LUXFIL BLACK 70","matched"
"Тонировка распродажа","LLumar","LUXFIL BLACK 80","LUXFIL BLACK 80","matched"
"Тонировка","LLumar","LUXFIL CARBON NANO CERAMIC 0590","LUXFIL CARBON NANO CERAMIC 0590","matched"
"Тонировка","LLumar","LUXFIL CARBON NANO CERAMIC 1590","LUXFIL CARBON NANO CERAMIC 1590","matched"
"Тонировка","LLumar","LUXFIL CARBON NANO CERAMIC 3590","LUXFIL CARBON NANO CERAMIC 3590","matched"
"Тонировка","LLumar","LUXFIL CARBON NANO CERAMIC 5090","LUXFIL CARBON NANO CERAMIC 5090","matched"
"Тонировка","LLumar","LUXFIL CARBON NANO CERAMIC 7090","LUXFIL CARBON NANO CERAMIC 7090","matched"
"Тонировка","LLumar","LUXFIL CERAMIC IR7590","LUXFIL CERAMIC IR7590","matched"
"Бронепленка","LLumar","Luxfil ClearShield","Luxfil ClearShield","matched"
"Бронепленка","LLumar","Luxfil ClearShield Hard","Luxfil ClearShield Hard","matched"
"Бронепленка","LLumar","Luxfil ClearShield Light","Luxfil ClearShield Light","matched"
"Бронепленка","LLumar","Luxfil ClearShield Matt","Luxfil ClearShield","matched"
"Бронепленка","LLumar","Luxfil ClearShield Satin","Luxfil ClearShield","matched"
"Архитектурные","LLumar","LUXFIL DECO 12 (60м) Китай","LUXFIL DECO 12 (60м) Китай","matched"
"Бронепленка","LLumar","Luxfil Matt = Mapro","Luxfil Matt = Mapro","matched"
"Бронепленка","LLumar","Luxfil PPF  Hydrophobic 3M Glue 7,5ml","Luxfil PPF  Hydrophobic 3M Glue 7,5ml","matched"
"Бронепленка","LLumar","Luxfil PPF Generation 1 TPU-S 7,5ml","Luxfil PPF Generation 1 TPU-S 7,5ml","matched"
"Бронепленка","LLumar","Luxfil PPF Generation 2 TPU-SW 7,5ml","Luxfil PPF Generation 2 TPU-SW 7,5ml","matched"
"Бронепленка","LLumar","Luxfil PPF Generation 3 TPU-SS 7,5ml","Luxfil PPF Generation 3 TPU-SS 7,5ml","matched"
"Тонировка","LLumar","LUXFIL PPF Tint 05 limited edition","LUXFIL PPF  Tint 05 limited edition","matched"
"Тонировка","LLumar","LUXFIL PPF Tint 15 limited edition","LUXFIL PPF  Tint 15 limited edition","matched"
"Бронепленка","LLumar","LUXFIL PPF TPH GLOSS","LUXFIL PPF TPH GLOSS","matched"
"Бронепленка","LLumar","LUXFIL PPF TPH MATTE","LUXFIL PPF TPH MATTE","matched"
"Бронепленка","LLumar","LUXFIL PPF TPU GLOSS A","LUXFIL PPF TPU GLOSS A","matched"
"Бронепленка","LLumar","LUXFIL PPF TPU GLOSS S","LUXFIL PPF TPU GLOSS S","matched"
"Бронепленка","LLumar","LUXFIL PPF TPU GLOSS SS","LUXFIL PPF TPU GLOSS SS","matched"
"Бронепленка","LLumar","LUXFIL PPF TPU MATTE","LUXFIL PPF TPU MATTE","matched"
"Бронепленка","LLumar","Luxfil Proffesional = Mapro","Luxfil Proffesional = Mapro","matched"
"Архитектурные","LLumar","LUXFIL SAFETY 12  light","LUXFIL SAFETY 12  light","matched"
"Архитектурные","LLumar","LUXFIL SAFETY 12 (1,83)  light","LUXFIL SAFETY 12 (1,83)  light","matched"
"Архитектурные","LLumar","LUXFIL SAFETY 2 light","LUXFIL SAFETY 2 light","matched"
"Архитектурные","LLumar","LUXFIL SAFETY 4  light","LUXFIL SAFETY 4  light","matched"
"Архитектурные","LLumar","LUXFIL SAFETY 4 (1,83)  light","LUXFIL SAFETY 4 (1,83)  light","matched"
"Архитектурные","LLumar","LUXFIL SAFETY 8  light","LUXFIL SAFETY 8  light","matched"
"Архитектурные","LLumar","LUXFIL SAFETY 8 (1,83)  light","LUXFIL SAFETY 8 (1,83)  light","matched"
"Бронепленка","LLumar","Matt","LLumar Matt","matched"
"Бронепленка","LLumar","Medium (средний топ)","Medium (средний топ)","matched"
"Бронепленка","LLumar","Mono PPF (мягкий топ)","Mono PPF (мягкий топ)","matched"
"Бронепленка","LLumar","Mono PPF Matte","Mono PPF Matte","matched"
"Бронепленка","LLumar","Mono PRO  (твердый топ)","Mono PRO  (твердый топ)","matched"
"Бронепленка","LLumar","Mono TPU Black Gloss","Mono TPU Black Gloss","matched"
"Бронепленка","LLumar","MONO TPU Black Satin","MONO TPU Black Satin","matched"
"Бронепленка","LLumar","MONO TPU PPF Plus (мягкий топ)","MONO TPU PPF Plus (мягкий топ)","matched"
"Бронепленка","LLumar","MONO TPU Satin","MONO TPU Satin","matched"
"Архитектурные","LLumar","N 1020 SR PS 4","LLumar N 1020 SR PS 4","matched"
"Архитектурные","LLumar","N1020 SR CDF","LLumar N1020 SR CDF","matched"
"Архитектурные","LLumar","Natur 20 (1,524 )","","unmatched"
